Product Name,Price,Discount,Category,Brand,Rating,Number of Reviews
"GLUNÂ® Multipurpose Cleaning Brush 5-in-1 Multi-Function Cleaning Tools Kit (Keyboard Brush, TWS Cleaner, Key Puller, Metal Pen Tip, High Density Brush) Random",87,(56% off),Computer Accessories,GLUNÂ®,"3.9 out of 5 stars, rating details",292
"GLUNÂ® Desktop Portable 5 in 1 Cleaning Brush, Multi-Purpose Cleaning Tool, Keyboard Brush, TWS Cleaner, Key Puller, Metal Pen Tip, Nylon Brush",89,(70% off),Computer Accessories,GLUNÂ®,"4.0 out of 5 stars, rating details",6
"Amkette USB 3.0 Type-C Female to USB-A Male OTG Adapter | 5Gbps High-Speed Data Transfer | 15W Fast Charging | Compact, Portable & Durable Aluminum Alloy | Universal Compatibility for Laptops & More",99,(60% off),Computer Accessories,Amkette,"4.6 out of 5 stars, rating details",26
"LS LAPSTER Quality Assured Male to Male VGA Cable 1.5 Meter, Support Monitor/PC/LCD/LED, Plasma, Projector, TFT (LST-VGACBLE-1.5M)",99,(90% off),Computer Accessories,LS,"3.3 out of 5 stars, rating details","1,193"
"Sounce Mouse Pad Speed Type Mouse Pad with Antifray Stitched Embroidery Edges, Non-Slip Rubber Base Mousepad for Laptop PC (260mm x 210mm x 2mm) (Black)",99,(90% off),Computer Accessories,Sounce,"4.3 out of 5 stars, rating details","2,537"
"Sounce Ergonomic Mouse Pad, Non-Slip, Anti-Skid, Waterproof, Splash-Proof Precision Tracking, Durable, Suitable for Gaming, Computer, Laptop, Home & Office (9.8 X 8.2 Inch Black).",99,(90% off),Computer Accessories,Sounce,"4.3 out of 5 stars, rating details","2,537"
"Sounce 25 Pcs Spiral Cable Protectors & Wire Protectors Spring Wire for All Wired Accessories for USB Charger, Data Cable, Headphones, MacBook, Laptop, Elastic Cord Saver (Multi-Color)",99,(80% off),Computer Accessories,Sounce,"4.2 out of 5 stars, rating details","2,663"
Kuber Industries 26x10 cm Computer Brush | Computer Keyboard Brush | Kitchen Duster | Laptop Keyboard Brush | Computer Dual Brush | Cleaning Tool for Computer | Multicolor,109,(78% off),Computer Accessories,Kuber,"3.9 out of 5 stars, rating details",240
Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),119,(83% off),Computer Accessories,Portronics,"4.1 out of 5 stars, rating details","28,763"
Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),121,(83% off),Computer Accessories,Tizum,"4.2 out of 5 stars, rating details","10,752"
Like Star 3.5mm Lapel Microphone for Video Recording | Collar Mic | Small Mic for Phone | Wired Mini Mike for Phone | Microphone for Recording,129,(74% off),Computer Accessories,Like,"3.6 out of 5 stars, rating details",120
"STRIFF Mousepad Mouse Mat 230X190X2mm Mouse pad for Laptop Non-Slip Rubber Base, Waterproof Surface, Compatible with Laser and Optical Mice(Black)(Pack of 2)",129,(87% off),Computer Accessories,STRIFF,"4.3 out of 5 stars, rating details","1,156"
Sounce Cleaning Soft Brush Keyboard Cleaner 5-in-1 Multi-Function Computer Cleaning Tools Kit Corner Gap Duster Keycap Puller for Bluetooth Earphones Lego Laptop AirPods Pro Camera Lens (White),129,(57% off),Computer Accessories,Sounce,"4.0 out of 5 stars, rating details","2,224"
"Toysbuddy Re-Writable LCD Writing Tablet Pad with Screen 21.5cm (8.5Inch) for Drawing, Playing, Handwriting Best Birthday Gifts for Adults & Kids Girls Boys, Multicolor",129,(38% off),Tablets,Toysbuddy,"3.5 out of 5 stars, rating details","6,849"
"ANCHOR 6A 3 Pin Multi Plug Socket Travel Adapter with Universal Socket, 3 Pin Multi Plug Extension Socket (White)",129,(21% off),Computer Accessories,ANCHOR,"4.4 out of 5 stars, rating details","11,612"
LAPSTER Accessories Power Cable Cord 2 Pin Laptop Adapter and Tape Recorder 1.5M,139,(86% off),Computer Accessories,LAPSTER,"3.5 out of 5 stars, rating details","3,644"
"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",139,(44% off),Computer Accessories,Zebronics,"3.9 out of 5 stars, rating details","11,660"
BigPlayer Grey Fully Casual Office Laptop Bag for Men & Women - Stylish and Practical for Everyday Use,139,(86% off),Computer Accessories,BigPlayer,No rating,No reviews
"100FIT 3 Pin Universal Power Cable for Laptop Charger Adapter - Replacement Cord (1.5M, Black)",148,(51% off),Computer Accessories,100FIT,"3.5 out of 5 stars, rating details",212
Electronic Spices 2 inch 4Î© (ohm) 5W metal body power audio woofer speaker (Round shape),149,(25% off),Speakers,Electronic,"3.0 out of 5 stars, rating details",12
"ARTBRIZÂ® Brizberry Pro-X1 Mouse Pad, Optimised for Speed and Precision, Premium Anti Skid Rubber Base, for Office Desktop Laptop PC Mac, 240mm x 210mm x 3mm (111S - Pack of 1)",149,(70% off),Computer Accessories,ARTBRIZÂ®,"4.6 out of 5 stars, rating details",860
"Sounce 1.5 Meter High-Speed HDMI Cable - Hdmi Arc Enabled | 64 Gbps | 4K 120Hz | 1080P 240Hz | Strong & Durable | Supports Up To 32 Audio Channels | Gold Plated | 1.5 Meter, Black (Pack of 1)",149,(85% off),Computer Accessories,Sounce,"4.0 out of 5 stars, rating details","2,195"
"Lapster Gel Mouse pad with Wrist Rest, Gaming Mouse Pad with Lycra Cloth Nonslip for Laptop, Computer, Home & Office (Black)",149,(85% off),Computer Accessories,Lapster,"4.1 out of 5 stars, rating details","2,507"
"ZEBRONICS Byte Wired Optical Mouse with 3 Buttons, High Precision, 1000 DPI, Works on Most Surfaces, Plug & Play, USB Interface, 1.3m Cable Length",149,(63% off),Computer Accessories,Zebronics,"3.9 out of 5 stars, rating details","11,660"
"Ambrane Unbreakable 60W Fast Charging 1.5M Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",149,(63% off),Computer Accessories,Ambrane,"4.0 out of 5 stars, rating details","75,163"
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",149,(50% off),Computer Accessories,Ambrane,"4.0 out of 5 stars, rating details","75,163"
"Retro Gaming Console Phone Charm, Mini Handheld Design, Yellow and White",149,(40% off),Gaming Consoles,Retro,"3.4 out of 5 stars, rating details",45
Amazon Basics Hi-Speed 4 Port Ultra Slim USB 2.0 Hub for Laptops and Computers (Black),151,(85% off),Computer Accessories,Amazon Basics,"3.9 out of 5 stars, rating details","1,070"
Bowiemall Cable Ties Reusable Adjustable Cord Straps Cable Organizer Cord Wrap Management Wire Ties Electronics Accessories (30),158,(84% off),Computer Accessories,Bowiemall,"4.0 out of 5 stars, rating details",330
"Wolpin Pack of 20 Pcs Cable Clips with Strong Self-Adhesive Wire Holder for Car, Office and Home Wire Organizer Accessories Office, Laptop, Computer (Transparent)",168,(72% off),Computer Accessories,Wolpin,"3.4 out of 5 stars, rating details",659
Electronic Spice 2'' inch Tweeter Speaker max Power 80w Upto 20khz Pack of 2,169,(62% off),Speakers,Electronic,"3.5 out of 5 stars, rating details",294
"ZEBRONICS 180HB USB HUB, 3 Ports, USB 3.0, Transfer Speeds Upto 5 Gbps, Lightweight Design, Multi OS Compatible, Plug and Play",169,(62% off),Computer Accessories,Zebronics,"4.2 out of 5 stars, rating details","1,010"
"Sounce Mouse Pad, Ergonomic Mouse Pad with Comfortable Gel Wrist Rest Support and Lycra Cloth, Non-Slip PU Base for Easy Typing Pain Relief, Durable and Washable, Classic (Black)",169,(66% off),Computer Accessories,Sounce,"4.3 out of 5 stars, rating details","2,537"
"Sounce Mouse Pad, Ergonomic Mouse Pad with Comfortable Gel Wrist Rest Support and Lycra Cloth, Non-Slip PU Base for Easy Typing Pain Relief, Durable and Washable, Classic (Blue)",169,(66% off),Computer Accessories,Sounce,"4.3 out of 5 stars, rating details","2,537"
"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",169,(52% off),Computer Accessories,Ambrane,"4.0 out of 5 stars, rating details","75,163"
